,0,1,2,3,4,5,6,7
133,0.68900817,1.70484126,2.68518308,0.13164478,2.38508208,2.74150047,1.47170751,2.02262185
134,0.68265375,1.70475013,2.65045568,0.13170159,2.38745527,2.74126136,1.39993841,1.95073493
135,0.68301441,1.70390351,2.60691062,0.13179108,2.35528639,2.73946842,1.13885002,1.73756171
136,0.67704839,1.70460593,2.60702982,0.13141344,2.35687758,2.7381057,1.15788709,1.73937669
137,0.67953589,1.70403171,2.59025798,0.1315715,2.36244795,2.73964499,0.6692644,1.29269519
138,0.67441577,1.70416496,2.56671235,0.13146024,2.34386551,2.73744728,0.81021385,1.4173374
139,0.6737583,1.70401605,2.56555125,0.1317228,2.33329533,2.73314425,0.93160898,1.54622433
140,0.66936551,1.70415577,2.56436425,0.13137201,2.33753975,2.73083892,1.1182487,1.72083086
141,0.66459256,1.70388247,2.53302849,0.13135527,2.30300684,2.72991093,1.53911142,2.06149226
142,0.66385277,1.7033895,2.50519865,0.13138,2.29141951,2.7297396,1.39036037,1.97051267
143,0.66379588,1.70318035,2.49202394,0.13138641,2.29341323,2.73098641,1.39691573,1.97250281
144,0.66815588,1.70436059,2.56407242,0.131425,2.33300557,2.73095555,0.83289567,1.47282475
145,0.66758976,1.70445566,2.54930994,0.13138955,2.32311449,2.73200852,0.73634822,1.36203737
146,0.66699789,1.70354738,2.52495539,0.13147206,2.31547941,2.73124669,1.21197761,1.8008045
147,0.66885737,1.70334745,2.54326345,0.13139623,2.34066909,2.72982249,1.10430119,1.72854493
148,0.66749852,1.703667,2.5465381,0.13152758,2.3363799,2.73098105,1.39087198,1.96047976
149,0.66875583,1.70349486,2.52958561,0.13141287,2.32195042,2.73395127,1.35201285,1.92457348
150,0.67043122,1.70364008,2.56755566,0.13155653,2.33741898,2.73221806,1.70948097,2.19969779
151,0.67290819,1.70390467,2.56619179,0.1315329,2.33926627,2.73574807,1.281036,1.86924888
152,0.67949049,1.70449197,2.62590828,0.13153342,2.37361951,2.73647971,0.91891008,1.53202677
153,0.68243162,1.70532123,2.65275755,0.13183858,2.37966956,2.73962,0.90193126,1.49079797
154,0.68797782,1.7052093,2.67707696,0.13185933,2.39358367,2.74150491,1.0962634,1.66235996
155,0.69084419,1.70573042,2.71523874,0.13189039,2.41523314,2.74296202,0.9986342,1.58007627
156,0.69420572,1.706376,2.74046898,0.13198095,2.43759221,2.74680877,0.9217628,1.49403826
157,0.70330448,1.70618537,2.77958505,0.13217023,2.45043646,2.74740417,0.77024044,1.33267018
158,0.70441474,1.70626555,2.82517861,0.13215739,2.50242236,2.74697935,1.08072222,1.62233731
159,0.70227008,1.7067605,2.81715431,0.13196422,2.48386265,2.75309068,1.65342713,2.08453588
160,0.72039695,1.70755688,2.92484488,0.13236236,2.54143594,2.75401247,0.85329896,1.39127559
161,0.72117548,1.70788921,2.9264427,0.13223115,2.5493678,2.75923783,1.08156931,1.58665943
162,0.7296127,1.70808229,2.96698854,0.13250977,2.56221406,2.76145755,1.21453782,1.69608442
163,0.72201688,1.70815379,2.99632175,0.13262059,2.55385231,2.75616969,2.17578843,2.40070782
164,0.72624443,1.70826329,2.99215556,0.13252609,2.57255138,2.76476842,2.09595553,2.4073116
165,0.75314776,1.70791947,3.06984179,0.13284435,2.62280601,2.76757057,1.28348505,1.75120506
166,0.74603452,1.70980968,3.10553312,0.13264083,2.62927164,2.77169336,1.8043007,2.12323611
167,0.76875324,1.71047226,3.20905838,0.13304858,2.7014848,2.77553284,1.07643652,1.50790942
168,0.76740357,1.71057528,3.2263798,0.13321221,2.67244198,2.77585849,1.54964417,1.90041483
169,0.77286306,1.71089177,3.25200252,0.13317631,2.70508606,2.77894175,1.51139135,1.85448218
170,0.77514298,1.71133802,3.27965502,0.13305622,2.70637606,2.78068961,1.93327345,2.19814849
171,0.78857369,1.71150213,3.31090346,0.13336093,2.74793151,2.78653637,1.47191973,1.82712976
