time,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,L11
107,30.48,20.62,8.60,7.25,9.45,2.24,2.82,2.12,2.55,7.49,-0.37
108,30.12,21.15,8.30,6.83,10.23,1.52,3.50,2.73,4.49,8.10,-0.89
109,30.78,20.70,8.30,6.37,10.86,2.84,2.80,1.65,3.70,8.09,0.42
110,30.62,21.17,8.55,7.47,10.89,2.79,2.68,1.80,3.87,7.51,-0.21
111,31.28,21.10,8.33,6.74,11.09,1.86,3.19,1.85,3.64,6.55,-0.20
112,31.07,21.92,9.03,7.05,10.17,2.20,3.21,2.03,3.88,7.30,-0.43
113,31.30,22.21,9.83,7.31,10.56,1.33,2.70,1.80,3.90,6.99,-0.91
114,32.95,22.45,9.02,8.68,10.15,0.93,2.96,3.15,3.71,7.23,-0.59
115,33.96,23.75,10.22,7.86,11.02,2.08,3.87,1.86,4.29,7.81,-0.07
116,35.00,23.63,11.13,8.30,12.21,1.47,3.13,2.19,3.33,7.88,0.11
117,36.17,25.24,11.26,7.98,11.48,3.23,2.55,2.21,4.97,7.74,-0.23
118,37.80,26.63,10.24,9.64,11.55,2.61,3.24,1.49,5.06,9.11,-1.22
119,38.64,26.48,10.00,9.56,12.32,3.25,3.40,1.87,5.40,9.32,-0.13
120,40.69,28.40,11.57,9.76,13.16,1.95,2.58,2.71,5.00,10.12,-1.17
121,40.88,29.10,11.30,9.80,14.17,2.40,4.40,2.64,5.34,10.38,-0.20
122,43.34,30.22,12.63,10.00,14.37,2.92,3.80,2.30,5.58,9.90,-0.51
123,44.68,31.52,13.32,11.21,15.50,2.75,3.82,2.63,6.36,10.59,-0.55
124,46.71,32.67,13.24,11.54,15.27,3.25,4.33,2.56,6.02,11.27,-0.69
125,48.18,32.97,13.57,11.62,15.59,3.18,4.76,2.80,4.85,10.90,0.53
126,50.56,34.12,14.06,12.35,17.31,3.97,4.41,2.57,5.87,11.34,-0.86
127,51.28,36.98,14.32,12.15,17.02,3.91,5.64,2.87,6.52,12.09,-0.97
128,53.97,37.28,15.52,12.72,18.73,2.45,4.62,1.73,6.48,12.04,0.15
129,55.73,38.91,16.18,13.27,18.68,3.43,5.15,2.42,7.87,12.24,-0.72
130,56.84,40.15,16.39,14.26,19.07,3.35,5.33,2.75,7.03,13.12,-0.19
131,58.06,40.42,16.57,14.21,19.30,3.58,4.85,2.81,7.24,13.26,-0.57
132,59.36,42.55,16.74,14.38,20.21,3.15,6.72,3.68,8.00,14.14,-0.57
133,61.65,42.49,18.23,14.56,21.38,3.98,5.56,3.23,7.25,14.87,-0.58
134,62.56,44.11,17.96,15.30,20.32,4.15,5.81,4.34,7.17,14.96,-1.40
135,63.67,44.92,17.69,15.70,21.27,4.10,5.96,4.67,8.37,15.57,-0.99
136,66.28,46.30,18.26,15.58,21.40,5.45,6.39,3.89,8.67,14.77,-0.75
137,66.13,46.32,17.83,16.33,23.62,4.69,6.52,4.44,8.35,15.24,-1.23
138,67.19,46.90,18.65,16.07,21.27,4.47,6.10,4.80,8.41,15.07,-0.40
139,67.87,47.14,18.81,15.97,23.91,4.32,6.00,3.18,8.78,16.00,-0.41
140,69.30,48.01,19.98,16.45,23.06,5.44,5.89,3.34,8.13,16.18,-0.80
141,69.55,48.13,19.64,17.46,23.93,5.39,7.03,2.81,9.05,15.86,-0.32
142,69.92,48.54,19.89,16.21,23.20,3.91,6.51,4.12,8.37,16.22,-0.10
143,70.15,47.89,19.13,16.45,23.27,4.61,6.51,4.09,9.37,16.59,0.03
144,70.21,49.25,21.86,16.16,23.48,3.75,6.53,4.04,9.02,16.16,0.36
145,69.50,48.32,19.40,17.39,24.38,4.98,6.66,3.57,8.76,15.30,-1.02
146,70.66,48.21,20.18,16.42,23.97,5.12,6.83,3.81,9.74,16.75,-0.92
