,N9,N3,N5,N7,L4,L10
93,-45.6247444152832,43.091190338134766,42.551025390625,39.853458404541016,10.936439514160156,10.156963348388672
94,-43.714290618896484,43.340476989746094,42.994930267333984,40.89900588989258,10.781952857971191,9.719413757324219
95,-42.331268310546875,43.795684814453125,43.42024230957031,41.59902572631836,10.144492149353027,8.939538955688477
96,-40.482120513916016,44.13969421386719,43.89994430541992,42.116031646728516,9.851516723632812,8.644972801208496
97,-39.4218864440918,44.47164535522461,44.24842834472656,42.516448974609375,9.634686470031738,8.718582153320312
98,-37.92551803588867,44.791080474853516,44.592002868652344,43.132606506347656,9.028099060058594,7.932374954223633
99,-36.793216705322266,45.07207489013672,44.928443908691406,43.4368782043457,9.256486892700195,8.20628833770752
100,-35.46833419799805,45.438316345214844,45.1240119934082,43.668296813964844,8.999638557434082,8.365185737609863
101,-34.84157180786133,45.59022521972656,45.51831817626953,44.25028610229492,8.219966888427734,7.48411226272583
102,-34.58537673950195,45.714027404785156,45.643951416015625,44.41370391845703,8.102143287658691,7.420244216918945
103,-33.54847717285156,46.10532760620117,45.80839538574219,44.74778366088867,8.13950252532959,7.3813157081604
104,-32.73137283325195,45.96550750732422,45.855369567871094,44.78738021850586,7.928926467895508,7.087045669555664
105,-32.3320198059082,46.38661193847656,46.235660552978516,45.04671859741211,7.708369731903076,7.108529567718506
106,-31.83945655822754,46.38995361328125,46.06721115112305,44.91162109375,7.8737969398498535,6.78330135345459
107,-31.578086853027344,46.419281005859375,46.11225509643555,44.799434661865234,7.726840019226074,7.334686279296875
108,-30.588638305664062,46.75136184692383,46.39689254760742,44.95659255981445,7.7629618644714355,7.626363277435303
109,-31.877113342285156,46.39549255371094,46.14486312866211,44.90380859375,7.829233169555664,7.403862953186035
110,-32.19749069213867,46.25571060180664,46.063236236572266,44.85136795043945,7.790022373199463,7.141340255737305
111,-32.676815032958984,46.045719146728516,45.92573928833008,44.9603271484375,7.469849586486816,6.639918804168701
112,-31.900848388671875,46.332374572753906,46.1625862121582,44.8757438659668,7.78650426864624,7.125418663024902
113,-32.89982986450195,46.001773834228516,45.88471984863281,44.55303192138672,7.887917995452881,6.9118781089782715
114,-33.574798583984375,46.031280517578125,45.64388656616211,44.394439697265625,8.6191987991333,6.949342250823975
115,-35.35373306274414,45.35988998413086,45.292572021484375,43.985450744628906,8.408578872680664,7.433170795440674
116,-35.97908401489258,45.56715393066406,45.34774398803711,43.5413818359375,8.677570343017578,7.716427803039551
117,-36.77650833129883,45.15633773803711,44.859615325927734,43.29743957519531,8.99475383758545,7.6639251708984375
118,-37.49496841430664,45.07264709472656,44.84799575805664,42.727996826171875,9.39279842376709,8.788509368896484
119,-39.140594482421875,44.510562896728516,44.28041458129883,42.36381912231445,9.549263000488281,8.903815269470215
120,-40.89179229736328,44.15010452270508,43.88981246948242,41.890384674072266,9.864444732666016,9.353471755981445
121,-41.9066047668457,43.891780853271484,43.64743423461914,41.44440841674805,10.117789268493652,9.94407844543457
122,-43.234375,43.492881774902344,43.27210235595703,41.056976318359375,10.349526405334473,9.527894973754883
123,-45.55986785888672,42.81620788574219,42.525978088378906,40.231964111328125,10.936328887939453,9.95265007019043
124,-47.18511962890625,42.46992874145508,42.20219421386719,39.43295669555664,11.251148223876953,10.851792335510254
125,-49.629539489746094,41.80765151977539,41.50717544555664,39.122257232666016,11.734400749206543,10.684342384338379
126,-49.32453536987305,41.35952377319336,41.06657409667969,38.33536911010742,12.159523963928223,11.143272399902344
127,-51.45445251464844,41.00590133666992,40.68840408325195,37.564334869384766,12.50861930847168,11.727425575256348
128,-52.93770217895508,40.537017822265625,39.88077163696289,36.770530700683594,12.903854370117188,11.694371223449707
129,-54.745948791503906,39.747901916503906,39.307498931884766,36.04113006591797,13.464734077453613,11.923079490661621
130,-56.5583610534668,39.043212890625,38.60737228393555,35.2539176940918,13.845297813415527,12.650327682495117
131,-58.21294403076172,38.73751449584961,38.24806594848633,34.66838455200195,14.11301040649414,13.13451862335205
132,-58.54732131958008,38.49201965332031,37.70035171508789,33.88883972167969,14.310859680175781,13.704593658447266
133,-60.17793655395508,37.98358917236328,37.196651458740234,32.98007583618164,14.56592845916748,14.10405445098877
134,-61.6303596496582,37.19710159301758,36.641845703125,32.30644607543945,15.022655487060547,14.300251007080078
