time,N1,N2,N3,N4,N5,N6,N7,N8,
179,1.82,2.49,6.59,0.24,3.38,2.47,2.33,5.67
180,1.25,3.40,6.35,0.00,3.53,3.58,5.59,2.71
181,2.63,0.06,8.15,0.26,4.26,2.24,3.70,7.13
182,0.94,3.38,9.36,0.70,6.69,2.09,2.66,10.01
183,1.24,2.48,8.31,1.02,2.79,3.49,2.55,7.39
184,3.02,1.24,8.67,1.13,4.17,5.91,5.92,7.64
185,3.06,1.91,0.38,0.72,2.11,3.92,7.54,12.38
186,1.36,2.45,8.09,0.95,7.59,5.61,4.63,3.20
187,1.60,4.45,4.50,0.71,7.48,1.40,3.40,7.84
188,1.10,0.00,5.88,0.61,4.64,1.59,3.17,7.58
189,2.46,3.59,14.72,0.82,3.90,3.62,2.98,0.44
190,2.71,3.63,6.55,1.14,3.71,5.62,6.14,5.60
191,2.54,5.67,7.80,0.66,2.65,5.66,8.21,11.93
192,2.72,3.58,9.10,1.23,2.24,5.69,3.48,8.88
193,2.85,3.40,10.85,1.14,5.96,7.60,4.51,8.54
194,1.00,3.65,4.08,1.44,3.49,5.98,0.26,8.85
195,4.49,4.44,10.18,0.64,5.10,6.52,5.42,9.81
196,3.90,4.70,14.73,1.06,5.37,6.05,3.63,14.92
197,2.26,2.81,10.13,1.19,6.47,6.09,6.12,9.16
198,1.86,2.39,8.82,0.98,4.17,5.69,6.09,13.36
199,3.06,5.40,9.49,1.22,1.82,3.80,5.73,9.23
200,3.84,3.15,13.26,1.06,7.55,8.08,5.96,11.39
201,4.28,5.43,10.39,1.00,5.45,6.91,11.07,10.06
202,3.69,3.97,11.24,1.21,10.41,6.98,7.36,7.77
203,3.44,3.68,18.25,1.12,5.85,6.91,8.70,15.00
204,4.16,4.11,12.78,1.38,6.00,7.59,10.95,10.45
205,4.53,5.29,15.33,1.14,8.49,6.66,7.76,13.08
206,2.49,2.96,13.56,1.27,10.14,7.27,10.15,15.99
207,2.85,6.03,13.69,1.69,7.91,7.66,10.17,14.28
208,4.05,4.28,12.59,1.41,9.11,6.80,7.92,15.43
209,3.41,7.05,13.97,1.62,10.04,9.98,10.63,11.30
210,4.69,6.66,12.17,1.06,9.89,11.97,11.21,11.97
211,4.91,4.38,17.19,1.13,9.88,4.29,5.97,17.79
212,4.35,4.60,14.97,1.33,8.55,9.55,8.55,17.96
213,3.75,5.83,18.87,1.46,8.28,10.29,11.82,18.38
214,3.09,6.50,15.23,1.53,10.66,8.94,9.21,13.80
215,4.43,7.67,11.94,1.05,9.99,9.45,8.73,12.77
216,4.27,6.06,13.42,1.29,10.90,11.70,11.51,21.44
217,3.57,5.25,19.13,1.48,10.73,9.07,7.22,15.71
218,2.55,3.46,19.21,1.30,7.88,8.44,8.43,13.19
219,4.27,4.67,13.54,1.50,10.18,8.63,10.64,18.84
220,3.07,5.39,19.13,1.23,11.62,7.55,9.94,17.61
221,3.34,5.78,15.69,1.47,8.22,7.83,11.38,20.02
222,4.71,5.95,14.77,1.32,8.20,6.41,9.47,13.65
223,5.69,4.34,14.13,1.23,6.87,4.95,9.52,11.62
224,4.02,4.67,13.97,1.57,11.80,5.82,11.88,15.89
225,3.52,6.85,18.36,1.47,10.21,6.49,5.38,12.82
226,4.06,5.46,10.25,1.00,5.26,8.37,9.23,15.80
227,3.55,5.08,11.78,1.33,9.55,4.76,8.81,13.80
228,3.19,2.82,9.26,1.49,6.98,5.67,10.56,14.01
229,3.79,5.79,10.53,0.78,7.60,8.25,5.71,13.91
230,3.87,3.04,14.08,0.54,7.66,3.92,10.26,8.59
231,3.16,4.21,10.51,0.84,7.28,6.45,8.25,15.80
