,N9,N3,N5,N7
307,0.25,0.04,0.04,0.04
308,0.25,0.04,0.04,0.04
309,0.25,0.04,0.04,0.04
310,0.25,0.04,0.04,0.04
311,0.25,0.04,0.04,0.04
312,0.25,0.04,0.04,0.04
313,0.25,0.04,0.04,0.04
314,0.25,0.04,0.04,0.04
315,0.25,0.04,0.04,0.04
316,0.25,0.04,0.04,0.04
317,0.25,0.04,0.04,0.04
318,0.25,0.04,0.04,0.04
319,0.25,0.04,0.04,0.04
320,0.25,0.04,0.04,0.04
321,0.25,0.04,0.04,0.04
322,0.25,0.04,0.04,0.04
323,0.25,0.04,0.04,0.04
324,0.25,0.04,0.04,0.04
325,0.25,0.04,0.04,0.04
326,0.25,0.04,0.04,0.04
327,0.25,0.04,0.04,0.04
328,0.25,0.04,0.04,0.04
329,0.25,0.04,0.04,0.04
330,0.25,0.04,0.04,0.04
331,0.25,0.04,0.04,0.04
332,0.25,0.04,0.04,0.04
333,0.25,0.04,0.04,0.04
334,0.25,0.04,0.04,0.04
335,0.25,0.04,0.04,0.04
336,0.25,0.04,0.04,0.04
337,0.25,0.04,0.04,0.04
338,0.25,0.04,0.04,0.04
339,0.25,0.04,0.04,0.04
340,0.25,0.04,0.04,0.04
341,0.25,0.04,0.04,0.04
342,0.25,0.04,0.04,0.04
343,0.25,0.04,0.04,0.04
344,0.25,0.04,0.04,0.04
345,0.25,0.04,0.04,0.04
346,0.25,0.04,0.04,0.04
347,0.25,0.04,0.04,0.04
348,0.25,0.04,0.04,0.04
349,0.25,0.04,0.04,0.04
350,0.25,0.04,0.04,0.04
351,0.25,0.04,0.04,0.04
352,0.25,0.04,0.04,0.04
353,0.25,0.04,0.04,0.04
354,0.25,0.04,0.04,0.04
355,0.25,0.04,0.04,0.04
356,0.25,0.04,0.04,0.04
357,0.25,0.04,0.04,0.04
358,0.25,0.04,0.04,0.04
359,0.25,0.04,0.04,0.04
360,0.25,0.04,0.04,0.04
361,0.25,0.04,0.04,0.04
362,0.25,0.04,0.04,0.04
363,0.25,0.04,0.04,0.04
364,0.25,0.04,0.04,0.04
365,0.25,0.04,0.04,0.04
366,0.25,0.04,0.04,0.04
367,0.25,0.04,0.04,0.04
368,0.25,0.04,0.04,0.04
369,0.25,0.04,0.04,0.04
370,0.25,0.04,0.04,0.04
371,0.25,0.04,0.04,0.04
372,0.25,0.04,0.04,0.04
373,0.25,0.04,0.04,0.04
374,0.25,0.04,0.04,0.04
375,0.25,0.04,0.04,0.04
376,0.25,0.04,0.04,0.04
377,0.25,0.04,0.04,0.04
378,0.25,0.04,0.04,0.04
379,0.25,0.04,0.04,0.04
380,0.25,0.04,0.04,0.04
381,0.25,0.04,0.04,0.04
382,0.25,0.04,0.04,0.04
383,0.25,0.04,0.04,0.04
384,0.25,0.04,0.04,0.04
385,0.25,0.04,0.04,0.04
386,0.25,0.04,0.04,0.04
387,0.25,0.04,0.04,0.04
388,0.25,0.04,0.04,0.04
389,0.25,0.04,0.04,0.04
390,0.25,0.04,0.04,0.04
391,0.25,0.04,0.04,0.04
392,0.25,0.04,0.04,0.04
393,0.25,0.04,0.04,0.04
394,0.25,0.04,0.04,0.04
395,0.25,0.04,0.04,0.04
396,0.25,0.04,0.04,0.04
397,0.25,0.04,0.04,0.04
398,0.25,0.04,0.04,0.04
399,0.25,0.04,0.04,0.04
400,0.25,0.04,0.04,0.04
401,0.25,0.04,0.04,0.04
402,0.25,0.04,0.04,0.04
403,0.25,0.04,0.04,0.04
404,0.25,0.04,0.04,0.04
405,0.25,0.04,0.04,0.04
406,0.25,0.04,0.04,0.04
407,0.25,0.04,0.04,0.04
408,0.25,0.04,0.04,0.04
409,0.25,0.04,0.04,0.04
410,0.25,0.04,0.04,0.04
411,0.25,0.04,0.04,0.04
412,0.25,0.04,0.04,0.04
413,0.25,0.04,0.04,0.04
414,0.25,0.04,0.04,0.04
415,0.25,0.04,0.04,0.04
416,0.25,0.04,0.04,0.04
417,0.25,0.04,0.04,0.04
418,0.25,0.04,0.04,0.04
419,0.25,0.04,0.04,0.04
420,0.25,0.04,0.04,0.04
421,0.25,0.04,0.04,0.04
422,0.25,0.04,0.04,0.04
423,0.25,0.04,0.04,0.04
424,0.25,0.04,0.04,0.04
425,0.25,0.04,0.04,0.04
426,0.25,0.04,0.04,0.04
427,0.25,0.04,0.04,0.04
428,0.25,0.04,0.04,0.04
429,0.25,0.04,0.04,0.04
430,0.25,0.04,0.04,0.04
431,0.25,0.04,0.04,0.04
432,0.25,0.04,0.04,0.04
433,0.25,0.04,0.04,0.04
434,0.25,0.04,0.04,0.04
435,0.25,0.04,0.04,0.04
436,0.25,0.04,0.04,0.04
437,0.25,0.04,0.04,0.04
438,0.25,0.04,0.04,0.04
439,0.25,0.04,0.04,0.04
440,0.25,0.04,0.04,0.04
441,0.25,0.04,0.04,0.04
442,0.25,0.04,0.04,0.04
443,0.25,0.04,0.04,0.04
444,0.25,0.04,0.04,0.04
445,0.25,0.04,0.04,0.04
446,0.25,0.04,0.04,0.04
447,0.25,0.04,0.04,0.04
448,0.25,0.04,0.04,0.04
449,0.25,0.04,0.04,0.04
450,0.25,0.04,0.04,0.04
451,0.25,0.04,0.04,0.04
452,0.25,0.04,0.04,0.04
453,0.25,0.04,0.04,0.04
454,0.25,0.04,0.04,0.04
455,0.25,0.04,0.04,0.04
456,0.25,0.04,0.04,0.04
457,0.25,0.04,0.04,0.04
458,0.25,0.04,0.04,0.04
459,0.25,0.04,0.04,0.04
460,0.25,0.04,0.04,0.04
461,0.25,0.04,0.04,0.04
462,0.25,0.04,0.04,0.04
463,0.25,0.04,0.04,0.04
464,0.25,0.04,0.04,0.04
465,0.25,0.04,0.04,0.04
466,0.25,0.04,0.04,0.04
467,0.25,0.04,0.04,0.04
468,0.25,0.04,0.04,0.04
469,0.25,0.04,0.04,0.04
470,0.25,0.04,0.04,0.04
471,0.25,0.04,0.04,0.04
472,0.25,0.04,0.04,0.04
473,0.25,0.04,0.04,0.04
474,0.25,0.04,0.04,0.04
475,0.25,0.04,0.04,0.04
476,0.25,0.04,0.04,0.04
477,0.25,0.04,0.04,0.04
478,0.25,0.04,0.04,0.04
479,0.25,0.04,0.04,0.04
480,0.25,0.04,0.04,0.04
481,0.25,0.04,0.04,0.04
482,0.25,0.04,0.04,0.04
483,0.25,0.04,0.04,0.04
484,0.25,0.04,0.04,0.04
485,0.25,0.04,0.04,0.04
486,0.25,0.04,0.04,0.04
487,0.25,0.04,0.04,0.04
488,0.25,0.04,0.04,0.04
489,0.25,0.04,0.04,0.04
490,0.25,0.04,0.04,0.04
491,0.25,0.04,0.04,0.04
492,0.25,0.04,0.04,0.04
493,0.25,0.04,0.04,0.04
494,0.25,0.04,0.04,0.04
495,0.25,0.04,0.04,0.04
496,0.25,0.04,0.04,0.04
497,0.25,0.04,0.04,0.04
498,0.25,0.04,0.04,0.04
